text	label
works both as an engaging drama and an incisive look at the difficulties facing native americans . 	1
the movie begins in the past where a young boy named sam attempts to save celebi from a hunter . 	0
straight up : helicopters in action will take audiences on a series of aerial adventures . 	0
his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . 	0
they're jewish , they're grandmothers , and they're lesbians . 	0
"lesson to be learned : never , never mess with "" the gay mafia ! "" "	0
the movie takes place in mexico , 2002 ( based on a story from the 1800's ) . 	0
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds . 	1
4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly . 	1
impostor doesn't do much with its template , despite a remarkably strong cast . 	1
stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition . 	1
with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code . 	0
color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking . 	1
even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture . 	1
this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had . 	0
the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons . 	1
provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already . 	1
the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is . 	1
then , in 1974 , something incredible happened - they fell in love . 	0
there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening . 	1
trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . . 	0
it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins . 	1
a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current . 	0
despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age . 	1
you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch . 	1
the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script . 	1
it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere . 	1
"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side . "	0
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . 	1
director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention . 	1
